build_key,runs,acquisition_probability,completion_rate,avg_final_stage,avg_ending_bankroll,consistency,dominant_components
"core.opening-tell|core.player-surge|heat.soft-footsteps|tie.equalizer|vision.soft-peek",5,0.001%,100%,10,14406850,1,"opening-tell + player-surge + soft-footsteps + equalizer"
"core.opening-tell|core.opening-tell|core.player-surge|heat.soft-footsteps|vision.dealer-glance",5,0.001%,100%,10,33853925,1,"opening-tell + opening-tell + player-surge + soft-footsteps"
"core.clean-hands|core.opening-tell|heat.soft-footsteps|loaded.marked-nine|tie.tie-whisperer",4,0.001%,100%,10,9504343.75,1,"clean-hands + opening-tell + soft-footsteps + marked-nine"
"core.clean-hands|core.opening-tell|heat.soft-footsteps|natural.natural-read|tie.tie-whisperer",4,0.001%,100%,10,11216375,1,"clean-hands + opening-tell + soft-footsteps + natural-read"
"core.clean-hands|core.opening-tell|counter.false-read|counter.reverse-count|vision.soft-peek",4,0.001%,100%,10,13960343.75,1,"clean-hands + opening-tell + false-read + reverse-count"
"banker.dealers-nod|core.opening-tell|core.opening-tell|heat.soft-footsteps|vision.soft-peek",4,0.001%,100%,10,31707343.75,1,"dealers-nod + opening-tell + opening-tell + soft-footsteps"
"core.clean-hands|core.opening-tell|heat.soft-footsteps|tie.tie-whisperer|vision.pattern-memory",4,0.001%,100%,10,24273625,1,"clean-hands + opening-tell + soft-footsteps + tie-whisperer"
"banker.dealers-nod|core.opening-tell|heat.soft-footsteps|player.side-step|vision.dealer-glance",4,0.001%,100%,10,16603031.25,1,"dealers-nod + opening-tell + soft-footsteps + side-step"
"core.opening-tell|heat.soft-footsteps|player.countertrend|player.side-step|tie.equalizer",4,0.001%,100%,10,22842687.5,1,"opening-tell + soft-footsteps + countertrend + side-step"
"core.clean-hands|core.opening-tell|player.countertrend|tie.split-signal|vision.soft-peek",4,0.001%,100%,10,12923218.75,1,"clean-hands + opening-tell + countertrend + split-signal"
"core.clean-hands|core.opening-tell|counter.false-read|tie.split-signal|vision.pattern-memory",4,0.001%,100%,10,22954968.75,1,"clean-hands + opening-tell + false-read + split-signal"
"core.opening-tell|heat.soft-footsteps|tie.tie-whisperer|vision.soft-peek|vision.tie-forecast",4,0.001%,100%,10,13704843.75,1,"opening-tell + soft-footsteps + tie-whisperer + soft-peek"
"core.clean-hands|core.opening-tell|counter.countertrend-plus|counter.false-read|vision.soft-peek",4,0.001%,100%,10,15996531.25,1,"clean-hands + opening-tell + countertrend-plus + false-read"
